1차유형,→ 2차 대응(지배),대응비율%,겹침면적_ha,1차총면적_ha,신뢰도,2순위 후보,보조힌트
시가화지역,시가화건조지,96.8,22004.1,22737.3,상(자동확정 후보),조성녹지(2%),
녹지 및 오픈스페이스,자연산림,55.4,36132.9,65206.0,중(검토 권장),식재산림(15%),
