U대분류,농업지역,산지습지,시가화건조지,식재산림,자연산림,조성녹지,하천습지,호소
녹지 및 오픈스페이스,9647.9,8.7,1921.9,9667.8,36132.9,2878.6,4438.7,509.5
시가화지역,74.2,0.0,22004.1,13.6,24.9,507.5,83.1,29.9
