원유형,통합비교유형,면적_ha,비고
산림,산림,46087.4,
도로 및 관련시설,교통시설지,5579.3,
하천 및 호소,수계·습지,4573.6,
밭,농경지,3913.5,
공업지,공업지,3805.1,
논,농경지,3377.0,
공동주택지,공동주택지,2985.4,
단독주택지,단독주택지,2272.8,
상업업무시설지,상업업무지,2076.9,
초지,초지·조성녹지,1794.7,
시설경작지,농경지,1345.2,
과수원,농경지,1339.8,
조경수목식재지,초지·조성녹지,1238.3,
묘지,묘지,1235.9,
군사시설,특수지역,1123.1,
교육시설,공공용도지,1041.4,
주거·상업혼합지,주거상업혼합지,694.2,
건설현장지역,나지·유휴지,646.8,
기타 공공용도지,공공용도지,439.1,
대규모 운동시설지,공공용도지,343.5,
행정기관,공공용도지,258.0,
철도 및 관련 시설,교통시설지,216.0,
건설현장이 아닌 나지,나지·유휴지,199.5,
하수처리장,공공용도지,139.3,
발전소,공공용도지,138.2,
축산시설,농경지,131.1,축산→농경지로 통합(소규모)
연구기관,공공용도지,98.1,
쓰레기매립장,공공용도지,96.2,
정수장,공공용도지,94.8,
병원 및 요양기관,공공용도지,93.4,
기타 교통시설지,교통시설지,84.9,
관광시설지,공공용도지,82.4,애매: 관광시설↔조성녹지
농수산물시장,상업업무지,71.6,
폐기물 관련시설,공공용도지,71.0,
유수지,수계·습지,68.3,
묘포장,농경지,61.3,
문화유적지,공공용도지,39.7,
기타 물관련 시설,공공용도지,34.1,애매: 물관련시설↔수계
배수지,공공용도지,25.1,
식물원,초지·조성녹지,20.9,
공항 및 관련시설,교통시설지,19.0,
골프장,초지·조성녹지,12.6,
채석장,나지·유휴지,12.5,
자원회수시설,공공용도지,5.5,
야적장,나지·유휴지,3.6,
