1차유형,초안_2차대응(지배),대응비율%,1차총면적_ha,신뢰도,확정_2차유형,비교그룹코드,확정여부(Y/N),검토메모
시가화지역,시가화건조지,96.8,22737.3,상,시가화건조지,시가화건조지,Y,
녹지 및 오픈스페이스,자연산림,55.4,65206.0,중,,,,자연산림55%+식재산림15% → '산림'으로 병합 검토. 세부는 중분류 대응표 사용.
